date,hotel_code,room_code,available
2024-09-02,GLLM,SB2XX,0
2024-09-02,GLLM,SD1XX,0
2024-09-02,GLLM,SD1XXA,0
2024-09-02,GLLM,SQ1,0
2024-09-02,GLLM,SQ1U,0
2024-09-02,GLLM,XQ1,1
2024-09-03,GLLM,CD1,0
2024-09-03,GLLM,CD2,0
2024-09-03,GLLM,CD2LA,0
2024-09-03,GLLM,CD2TL,0
2024-09-03,GLLM,CK1LH,0
2024-09-03,GLLM,CK1LHA,0
2024-09-03,GLLM,CQ1,0
2024-09-03,GLLM,CQ1LH,0
2024-09-03,GLLM,CXQ1L,0
2024-09-03,GLLM,CXQ1LH,0
2024-09-03,GLLM,DK1A,0
2024-09-03,GLLM,DQ1,0
2024-09-03,GLLM,DQ1A,0
2024-09-03,GLLM,DQ2,0
2024-09-03,GLLM,SB2XX,0
2024-09-03,GLLM,SD1XX,0
2024-09-03,GLLM,SD1XXA,0
2024-09-03,GLLM,SQ1,0
2024-09-03,GLLM,SQ1U,0
2024-09-03,GLLM,XQ1,0
2024-09-04,GLLM,CD1,0
2024-09-04,GLLM,CD2,0
2024-09-04,GLLM,CD2LA,0
2024-09-04,GLLM,CD2TL,0
2024-09-04,GLLM,CK1LH,0
2024-09-04,GLLM,CK1LHA,0
2024-09-04,GLLM,CQ1,0
2024-09-04,GLLM,CQ1LH,0
2024-09-04,GLLM,CXQ1L,0
2024-09-04,GLLM,CXQ1LH,0
2024-09-04,GLLM,DK1A,0
2024-09-04,GLLM,DQ1,0
2024-09-04,GLLM,DQ1A,0
2024-09-04,GLLM,DQ2,0
2024-09-04,GLLM,SB2XX,0
2024-09-04,GLLM,SD1XX,0
2024-09-04,GLLM,SD1XXA,0
2024-09-04,GLLM,SQ1,0
2024-09-04,GLLM,SQ1U,0
2024-09-04,GLLM,XQ1,0
2024-09-05,GLLM,CD1,0
2024-09-05,GLLM,CD2,0
2024-09-05,GLLM,CD2LA,0
2024-09-05,GLLM,CD2TL,0
2024-09-05,GLLM,CK1LH,0
2024-09-05,GLLM,CK1LHA,0
2024-09-05,GLLM,CQ1,0
2024-09-05,GLLM,CQ1LH,0
2024-09-05,GLLM,CXQ1L,0
